Metric,Value
Total Revenue,"$15,680,869,265"
Total Orders,"646,945"
Overall AOV,"$24,238.33"
Overall Return Rate (%),1.24%
Number of Regions,3
Top Region,East
Top Region Revenue,"$7,291,150,819"
Top Region Return Rate (%),1.24%
Best AOV Region,Central
Best AOV,"$25,553.44"
Lowest AOV Region,West
Lowest AOV,"$21,893.24"
AOV Variance (%),16.7%
Highest Return Rate Region,West
Highest Return Rate (%),1.26%
Lowest Return Rate Region,Central
Lowest Return Rate (%),1.23%
Top Region Revenue Forecast (+1M),"$38,570,501"
Top Region Trend Slope ($/month),"$-303,870"
Regions for Fulfillment Focus,3
